package,version,license,license_source,direct_dependency,dev_dependency,resolved,package_path,license_file
@types/babel__template,7.4.4,MIT,package-lock,false,true,https://registry.npmjs.org/@types/babel__template/-/babel__template-7.4.4.tgz,node_modules/@types/babel__template,node_modules/@types/babel__template/LICENSE
@types/babel__traverse,7.28.0,MIT,package-lock,false,true,https://registry.npmjs.org/@types/babel__traverse/-/babel__traverse-7.28.0.tgz,node_modules/@types/babel__traverse,node_modules/@types/babel__traverse/LICENSE
@types/debug,4.1.12,MIT,package-lock,false,false,https://registry.npmjs.org/@types/debug/-/debug-4.1.12.tgz,node_modules/@types/debug,node_modules/@types/debug/LICENSE
@types/draco3d,1.4.10,MIT,package-lock,false,false,https://registry.npmjs.org/@types/draco3d/-/draco3d-1.4.10.tgz,node_modules/@types/draco3d,node_modules/@types/draco3d/LICENSE
@types/estree,1.0.8,MIT,package-lock,false,false,https://registry.npmjs.org/@types/estree/-/estree-1.0.8.tgz,node_modules/@types/estree,node_modules/@types/estree/LICENSE
@types/estree-jsx,1.0.5,MIT,package-lock,false,false,https://registry.npmjs.org/@types/estree-jsx/-/estree-jsx-1.0.5.tgz,node_modules/@types/estree-jsx,node_modules/@types/estree-jsx/LICENSE
@types/hast,2.3.10,MIT,package-lock,false,false,https://registry.npmjs.org/@types/hast/-/hast-2.3.10.tgz,node_modules/hast-util-parse-selector/node_modules/@types/hast,node_modules/hast-util-parse-selector/node_modules/@types/hast/LICENSE
@types/hast,2.3.10,MIT,package-lock,false,false,https://registry.npmjs.org/@types/hast/-/hast-2.3.10.tgz,node_modules/hastscript/node_modules/@types/hast,node_modules/hastscript/node_modules/@types/hast/LICENSE
@types/hast,2.3.10,MIT,package-lock,false,false,https://registry.npmjs.org/@types/hast/-/hast-2.3.10.tgz,node_modules/refractor/node_modules/@types/hast,node_modules/refractor/node_modules/@types/hast/LICENSE
@types/hast,3.0.4,MIT,package-lock,false,false,https://registry.npmjs.org/@types/hast/-/hast-3.0.4.tgz,node_modules/@types/hast,node_modules/@types/hast/LICENSE
@types/mdast,4.0.4,MIT,package-lock,false,false,https://registry.npmjs.org/@types/mdast/-/mdast-4.0.4.tgz,node_modules/@types/mdast,node_modules/@types/mdast/LICENSE
@types/ms,2.1.0,MIT,package-lock,false,false,https://registry.npmjs.org/@types/ms/-/ms-2.1.0.tgz,node_modules/@types/ms,node_modules/@types/ms/LICENSE
@types/offscreencanvas,2019.7.3,MIT,package-lock,false,false,https://registry.npmjs.org/@types/offscreencanvas/-/offscreencanvas-2019.7.3.tgz,node_modules/@types/offscreencanvas,node_modules/@types/offscreencanvas/LICENSE
@types/prismjs,1.26.5,MIT,package-lock,true,false,https://registry.npmjs.org/@types/prismjs/-/prismjs-1.26.5.tgz,node_modules/@types/prismjs,node_modules/@types/prismjs/LICENSE
@types/react,19.2.13,MIT,package-lock,true,false,https://registry.npmjs.org/@types/react/-/react-19.2.13.tgz,node_modules/@types/react,node_modules/@types/react/LICENSE
@types/react-dom,19.2.3,MIT,package-lock,true,true,https://registry.npmjs.org/@types/react-dom/-/react-dom-19.2.3.tgz,node_modules/@types/react-dom,node_modules/@types/react-dom/LICENSE
@types/react-reconciler,0.28.9,MIT,package-lock,false,false,https://registry.npmjs.org/@types/react-reconciler/-/react-reconciler-0.28.9.tgz,node_modules/@types/react-reconciler,node_modules/@types/react-reconciler/LICENSE
@types/stats.js,0.17.4,MIT,package-lock,false,false,https://registry.npmjs.org/@types/stats.js/-/stats.js-0.17.4.tgz,node_modules/@types/stats.js,node_modules/@types/stats.js/LICENSE
@types/three,0.182.0,MIT,package-lock,false,false,https://registry.npmjs.org/@types/three/-/three-0.182.0.tgz,node_modules/@types/three,node_modules/@types/three/LICENSE
@types/unist,2.0.11,MIT,package-lock,false,false,https://registry.npmjs.org/@types/unist/-/unist-2.0.11.tgz,node_modules/hast-util-parse-selector/node_modules/@types/unist,node_modules/hast-util-parse-selector/node_modules/@types/unist/LICENSE
@types/unist,2.0.11,MIT,package-lock,false,false,https://registry.npmjs.org/@types/unist/-/unist-2.0.11.tgz,node_modules/hastscript/node_modules/@types/unist,node_modules/hastscript/node_modules/@types/unist/LICENSE
@types/unist,2.0.11,MIT,package-lock,false,false,https://registry.npmjs.org/@types/unist/-/unist-2.0.11.tgz,node_modules/parse-entities/node_modules/@types/unist,node_modules/parse-entities/node_modules/@types/unist/LICENSE
@types/unist,2.0.11,MIT,package-lock,false,false,https://registry.npmjs.org/@types/unist/-/unist-2.0.11.tgz,node_modules/refractor/node_modules/@types/unist,node_modules/refractor/node_modules/@types/unist/LICENSE
@types/unist,3.0.3,MIT,package-lock,false,false,https://registry.npmjs.org/@types/unist/-/unist-3.0.3.tgz,node_modules/@types/unist,node_modules/@types/unist/LICENSE
